Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,242688319,3113.5680594658656,2334543,29.951002784973824,116665,4932928,63.28696462908391,38615,0.495410867369659,1607,
United States of America,Americas,44940696,13577.141,346399,104.651,0,726846,219.589,8144,2.46,0
India,South-East Asia,34189774,2477.512,108459,7.859,14306,454712,32.95,2422,0.176,443
Brazil,Americas,21680488,10199.731,53012,24.94,0,604228,284.263,1559,0.733,0
The United Kingdom,Europe,8641225,12729.023,236752,348.749,0,139146,204.97,619,0.912,0
Russian Federation,Europe,8168305,5597.242,175618,120.34,0,228453,156.545,5141,3.523,0
Turkey,Europe,7772604,9215.9,142441,168.891,0,68472,81.187,1035,1.227,0
France,Europe,6899508,10608.204,34175,52.545,6291,115088,176.951,186,0.286,23
Iran (Islamic Republic of),Eastern Mediterranean,5851670,6966.859,78251,93.164,7081,125052,148.884,1176,1.4,124
Argentina,Americas,5275984,11673.622,4623,10.229,0,115770,256.152,110,0.243,0
Spain,Europe,4995176,10553.349,6730,14.219,0,87102,184.021,41,0.087,0
Colombia,Americas,4984751,9796.517,6062,11.914,0,126931,249.457,135,0.265,0
Italy,Europe,4737462,7943.232,21998,36.884,3905,131802,220.99,285,0.478,39
Germany,Europe,4466157,5370.126,92368,111.064,13732,95100,114.349,482,0.58,23
Indonesia,South-East Asia,4240019,1550.147,4635,1.695,0,143205,52.356,206,0.075,0
Mexico,Americas,3767758,2922.266,17898,13.882,0,285347,221.315,1339,1.039,0
Poland,Europe,2961923,7803.13,22333,58.836,0,76359,201.166,247,0.651,0
South Africa,Africa,2919332,4922.267,3153,5.316,449,88914,149.917,327,0.551,23
Philippines,Western Pacific,2756923,2515.875,36580,33.382,5279,41793,38.139,1118,1.02,208
Ukraine,Europe,2725385,6231.765,90215,206.282,0,63003,144.06,2370,5.419,0
Malaysia,Western Pacific,2431716,7513.181,41029,126.766,5666,28400,87.746,479,1.48,46
Peru,Americas,2192205,6648.716,3854,11.689,0,199945,606.411,153,0.464,0
Netherlands,Europe,2064729,11861.088,20772,119.327,0,18280,105.012,38,0.218,0
Iraq,Eastern Mediterranean,2045027,5084.287,11290,28.069,1064,22937,57.025,199,0.495,36
Thailand,South-East Asia,1859157,2663.55,65345,93.618,0,18799,26.933,463,0.663,0
Czechia,Europe,1729458,16172.32,20504,191.735,2768,30615,286.284,62,0.58,7
Japan,Western Pacific,1716938,1357.516,2218,1.754,246,18199,14.389,96,0.076,8
Canada,Americas,1690258,4478.435,13412,35.536,0,28644,75.894,176,0.466,0
Chile,Americas,1676019,8767.532,6783,35.483,0,37640,196.901,43,0.225,0
Bangladesh,South-East Asia,1567692,951.908,1865,1.132,0,27823,16.894,45,0.027,0
Romania,Europe,1534942,7941.202,77682,401.897,0,43844,226.832,2054,10.627,0
Israel,Europe,1321582,15268.624,6191,71.526,324,8046,92.958,37,0.427,10
Belgium,Europe,1312360,11389.602,23867,207.135,0,25846,224.31,65,0.564,0
Pakistan,Eastern Mediterranean,1267945,574.01,4281,1.938,552,28359,12.838,107,0.048,15
Sweden,Europe,1165194,11282.343,2701,26.153,0,14986,145.106,6,0.058,0
Portugal,Europe,1082721,10516.031,3380,32.829,0,18117,175.963,29,0.282,0
Serbia,Europe,1078032,15563.417,34274,494.81,0,9331,134.711,279,4.028,0
Kazakhstan,Europe,1006807,5362,12343,65.736,1677,16905,90.032,223,1.188,0
Morocco,Eastern Mediterranean,944076,2557.74,2213,5.996,424,14606,39.571,69,0.187,6
Cuba,Americas,941562,8312.827,8794,77.64,0,8133,71.804,96,0.848,0
Viet Nam,Western Pacific,888940,913.245,24887,25.567,4045,21673,22.266,479,0.492,53
Switzerland,Europe,857500,9908.005,4422,51.094,0,10751,124.223,12,0.139,0
Jordan,Eastern Mediterranean,849758,8328.402,9641,94.491,758,10941,107.232,76,0.745,11
Hungary,Europe,843825,8637.318,10710,109.627,0,30492,312.113,141,1.443,0
Nepal,South-East Asia,809056,2776.749,3496,11.999,0,11348,38.947,55,0.189,0
Austria,Europe,791710,8894.555,21623,242.926,3731,10995,123.525,72,0.809,8
United Arab Emirates,Eastern Mediterranean,739190,7473.811,703,7.108,84,2129,21.526,11,0.111,1
Greece,Europe,714283,6663.98,22086,206.054,3155,15598,145.523,250,2.332,43
Tunisia,Eastern Mediterranean,711521,6020.34,748,6.329,0,25139,212.707,54,0.457,0
Georgia,Europe,692240,17352.961,29906,749.679,3436,9742,244.211,274,6.869,43
Lebanon,Eastern Mediterranean,637312,9337.296,3957,57.974,627,8449,123.787,30,0.44,4
Guatemala,Americas,591460,3301.375,6847,38.218,0,14515,81.019,311,1.736,0
Belarus,Europe,584190,6182.349,14184,150.106,2079,4499,47.612,113,1.196,17
Bulgaria,Europe,568073,8171.97,28454,409.323,3354,23033,331.339,802,11.537,58
Costa Rica,Americas,554604,10887.145,3460,67.921,0,6895,135.352,98,1.924,0
Saudi Arabia,Eastern Mediterranean,548205,1574.674,315,0.905,43,8776,25.208,16,0.046,2
Sri Lanka,South-East Asia,536084,2503.515,3866,18.054,0,13611,63.563,104,0.486,0
Azerbaijan,Europe,514289,5072.296,13978,137.861,2315,6869,67.747,123,1.213,22
Ecuador,Americas,514087,2913.821,785,4.449,0,32937,186.685,11,0.062,0
Bolivia (Plurinational State of),Americas,508166,4353.337,2016,17.271,0,18887,161.8,63,0.54,0
Myanmar,South-East Asia,494263,908.408,5388,9.903,0,18538,34.071,150,0.276,0
Panama,Americas,470855,10912.64,857,19.862,0,7300,169.186,12,0.278,0
Paraguay,Americas,460615,6457.94,293,4.108,0,16228,227.521,19,0.266,0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,451189,8844.391,3307,64.825,220,4626,90.681,50,0.98,9
Slovakia,Europe,449775,8240.848,12290,225.179,0,12886,236.099,40,0.733,0
Croatia,Europe,445325,10973.556,17411,429.036,2293,9038,222.711,142,3.499,28
Ireland,Europe,428152,8624.377,14418,290.426,2427,5369,108.149,63,1.269,0
Kuwait,Eastern Mediterranean,412506,9659.27,209,4.894,25,2460,57.604,4,0.094,0
Venezuela (Bolivarian Republic of),Americas,396477,1394.281,6432,22.619,0,4763,16.75,70,0.246,0
Uruguay,Americas,391522,11270.939,760,21.878,0,6069,174.711,3,0.086,0
